GuestId,ProductId,Review,Rating
G041,P017,"Average product, acceptable for the price.",3
G036,P054,Good value for money.,4
G071,P048,Looks good and feels durable.,4
G078,P044,"Loved it, exactly as expected.",5
G004,P051,Not as good as the photos suggested.,2
G039,P024,"Loved it, exactly as expected.",5
G066,P040,Great quality and very comfortable.,5
G038,P020,Good value for money.,4
G064,P050,Good value for money.,4
G064,P042,Good value for money.,4
G068,P016,Fit was slightly off and finish was average.,2
G047,P030,Poor stitching and disappointing quality.,1
G050,P049,Not as good as the photos suggested.,2
G054,P015,Looks good and feels durable.,4
G023,P006,"Average product, acceptable for the price.",3
G003,P055,Good value for money.,4
G034,P028,Excellent fit and premium feel.,5
G051,P031,Looks good and feels durable.,4
G095,P032,Nice fabric and decent fit.,4
G055,P021,"Average product, acceptable for the price.",3
G083,P026,Looks good and feels durable.,4
G020,P027,Great quality and very comfortable.,5
G011,P057,Good value for money.,4
G020,P008,Nice fabric and decent fit.,4
G076,P037,Looks good and feels durable.,4
G090,P015,Nice fabric and decent fit.,4
G093,P012,Good value for money.,4
G008,P034,Great quality and very comfortable.,5
G015,P007,Looks good and feels durable.,4
G008,P021,"Loved it, exactly as expected.",5
G086,P007,"Average product, acceptable for the price.",3
G002,P056,Mixed experience but usable.,3
G002,P007,Great quality and very comfortable.,5
G067,P041,Looks good and feels durable.,4
G034,P005,Excellent fit and premium feel.,5
G009,P051,"Okay quality, can be improved.",3
G099,P019,Fit was slightly off and finish was average.,2
G043,P042,"Okay quality, can be improved.",3
G068,P042,"Loved it, exactly as expected.",5
G074,P053,Nice fabric and decent fit.,4
G059,P001,Good value for money.,4
G064,P042,Fit was slightly off and finish was average.,2
G048,P025,Excellent fit and premium feel.,5
G074,P002,"Average product, acceptable for the price.",3
G030,P047,"Average product, acceptable for the price.",3
G006,P002,Fit was slightly off and finish was average.,2
G032,P026,Great quality and very comfortable.,5
G050,P005,Fit was slightly off and finish was average.,2
G005,P044,Looks good and feels durable.,4
G100,P037,"Average product, acceptable for the price.",3
G042,P043,"Loved it, exactly as expected.",5
G041,P029,Excellent fit and premium feel.,5
G074,P001,Looks good and feels durable.,4
G089,P007,Fit was slightly off and finish was average.,2
G029,P043,"Average product, acceptable for the price.",3
G052,P039,Great quality and very comfortable.,5
G037,P033,"Okay quality, can be improved.",3
G042,P016,Great quality and very comfortable.,5
G002,P009,Nice fabric and decent fit.,4
G073,P034,Mixed experience but usable.,3
G080,P056,Great quality and very comfortable.,5
G076,P060,Poor stitching and disappointing quality.,1
