Review_ID,ID (SKU),Customer_ID,Order_item_ID,Order_ID,Size,Color,Rating,Review_title,Review_text,Fit_feedback,Verified_purchase,Helpful_votes,Reviewed_at
REV-000001,APL-TOP-F-076,CUST-0083,OI-000002,ORD-2026-000001,M,Lilac,5,Worth every rupee,Liked the half sleeve detail. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,30,2026-07-05
REV-000002,APL-TOP-F-023,CUST-0064,OI-000005,ORD-2026-000004,XS,Champagne,2,Wouldn't buy again,Wanted it for evening wear but it doesn't look the part. Quality doesn't match the price — the material feels cheap up close.,True to size,TRUE,11,2026-07-11
REV-000003,APL-BTM-F-082,CUST-0064,OI-000006,ORD-2026-000004,S,Checked Grey,5,Absolutely love it,Turned out even better in person. The poly twill feels great against the skin. No complaints at all.,True to size,TRUE,29,2026-06-28
REV-000004,APL-TOP-F-075,CUST-0020,OI-000007,ORD-2026-000005,M,Olive,5,Absolutely love it,The relaxed fit is spot on for me. Comfortable all day and the colour hasn't faded after two washes.,True to size,TRUE,14,2026-07-15
REV-000005,APL-BTM-F-080,CUST-0036,OI-000010,ORD-2026-000007,L,Black,5,Worth every rupee,Liked the high-waist detail. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,13,2026-06-15
REV-000006,APL-TOP-F-068,CUST-0123,OI-000014,ORD-2026-000011,L,Ivory,4,Happy with this,"Good quality and comfortable. The regular fit is spot on for me. Slightly pricier than I'd like, but I'd buy it again.",True to size,TRUE,4,2026-07-14
REV-000007,APL-TOP-M-008,CUST-0089,OI-000016,ORD-2026-000013,M,Electric Blue,3,Average,"Wasn't sold on the sleeveless detail. Comfortable enough, though the fabric feels thinner than I expected.",True to size,TRUE,3,2026-06-16
REV-000008,APL-BTM-F-030,CUST-0122,OI-000019,ORD-2026-000015,M,Blush Pink,2,Wouldn't buy again,The colour is well off what's shown online; much more muted in daylight. Had to return it.,,TRUE,8,2026-07-08
REV-000009,APL-TOP-F-024,CUST-0062,OI-000025,ORD-2026-000020,L,Lilac,3,Okay for the price,"The cotton fleece isn't as substantial as I hoped. Comfortable enough, though the fabric feels thinner than I expected.",True to size,TRUE,1,2026-07-12
REV-000010,APL-TOP-F-071,CUST-0062,OI-000026,ORD-2026-000020,XL,Light Blue,4,Would recommend,"Good quality and comfortable. Liked the light detail. Slightly pricier than I'd like, but I'd buy it again.",True to size,TRUE,2,2026-07-06
